Nombre Cliente,Apellido Cliente,Fecha Nacimiento,Estado Civil,Genero,Correo Electrónico,Ingreso Anual,Numero de Hijos,Nivel Educativo Cliente,Ocupacion,Propietario Casa
JONATHAN,HILL,12/26/1975,Soltero,M,jonathan43@adventure-works.com," 100,000 ",1,Universitaria Completa,Empresario,Si
LUIS,WANG,05/22/1971,Soltero,M,luis24@adventure-works.com," 70,000 ",0,Universitaria Incompleta,Empleado,Si
ROBERT,LEE,07/21/1972,Casado,M,robert82@adventure-works.com," 130,000 ",2,Universitaria Postgrado,Empresario,Si
CHRISTIAN,THOMAS,04/04/1970,Casado,M,christian46@adventure-works.com," 90,000 ",5,Universitaria Incompleta,Independiente,Si
NOAH,COLEMAN,04/21/1943,Soltero,M,noah2@adventure-works.com," 70,000 ",4,Universitaria Postgrado,Empresario,Si
JON,LUO,05/20/1943,Casado,M,jon46@adventure-works.com," 70,000 ",4,Universitaria Postgrado,Empresario,Si
JOSE,PATTERSON,09/06/1946,Soltero,M,jose33@adventure-works.com," 120,000 ",2,Universitaria Postgrado,Empresario,Si
CAMERON,LEWIS,01/30/1967,Soltero,M,cameron39@adventure-works.com," 60,000 ",4,Universitaria Postgrado,Empleado,Si
MAURICE,LAL,07/04/1977,Casado,M,maurice9@adventure-works.com," 40,000 ",0,Universitaria Postgrado,Deportista,Si
BARRY,MARTINEZ,02/28/1978,Casado,M,barry18@adventure-works.com," 40,000 ",0,Universitaria Postgrado,Deportista,Si
JOE,TORRES,01/09/1979,Casado,M,joe35@adventure-works.com," 70,000 ",4,Universitaria Postgrado,Independiente,Si
ANDREW,RODRIGUEZ,12/09/1975,Casado,M,andrew27@adventure-works.com," 40,000 ",0,Universitaria Completa,Independiente,No
GREG,TAYLOR,03/24/1977,Casado,M,greg10@adventure-works.com," 80,000 ",2,Universitaria Postgrado,Independiente,Si
CAMERON,MOORE,04/12/1981,Casado,M,cameron48@adventure-works.com," 50,000 ",1,Universitaria Postgrado,Empleado,Si
BRENDAN,CHANDE,05/01/1977,Casado,M,brendan13@adventure-works.com," 40,000 ",2,Universitaria Completa,Empleado,Si
SETH,WILLIAMS,05/14/1978,Casado,M,seth2@adventure-works.com," 70,000 ",4,Universitaria Postgrado,Independiente,Si
JUAN,GRAY,03/20/1976,Casado,M,juan16@adventure-works.com," 60,000 ",2,Universitaria Completa,Empleado,Si
TYLER,BROWN,10/11/1973,Soltero,M,tyler9@adventure-works.com," 60,000 ",0,Universitaria Postgrado,Independiente,Si
CHRISTIAN,ROSS,02/10/1978,Casado,M,christian18@adventure-works.com," 80,000 ",3,Universitaria Postgrado,Independiente,Si
MIGUEL,LEE,05/19/1979,Soltero,M,miguel22@adventure-works.com," 30,000 ",0,Secundaria Completa,Comerciante,No
KURT,SHARMA,12/12/1967,Casado,M,kurt9@adventure-works.com," 80,000 ",2,Universitaria Postgrado,Independiente,Si
DENNIS,HUANG,11/28/1988,Casado,M,dennis7@adventure-works.com," 20,000 ",0,Universitaria Incompleta,Empleado,No
SEBASTIAN,STEWART,12/08/1970,Soltero,M,sebastian21@adventure-works.com," 100,000 ",1,Universitaria Incompleta,Independiente,Si
ADRIAN,RAMIREZ,06/12/1972,Casado,M,adrian9@adventure-works.com," 130,000 ",2,Universitaria Completa,Empresario,Si
GARRETT,KELLY,01/18/1953,Casado,M,garrett6@adventure-works.com," 70,000 ",4,Universitaria Completa,Empresario,No
JOSEPH,GARCIA,11/03/1983,Casado,M,joseph23@adventure-works.com," 60,000 ",0,Universitaria Incompleta,Empleado,Si
ALEX,CARTER,12/14/1983,Casado,M,alex39@adventure-works.com," 40,000 ",0,Secundaria Completa,Empleado,Si
NATHANIEL,COOPER,12/30/1953,Casado,M,nathaniel9@adventure-works.com," 60,000 ",4,Universitaria Completa,Empresario,No
DEVIN,SIMMONS,08/21/1957,Casado,M,devin53@adventure-works.com," 70,000 ",4,Universitaria Incompleta,Independiente,Si
ADAM,BAKER,05/15/1971,Soltero,M,adam38@adventure-works.com," 30,000 ",2,Universitaria Incompleta,Deportista,Si
DALTON,EDWARDS,11/29/1969,Casado,M,dalton44@adventure-works.com," 130,000 ",1,Universitaria Completa,Empresario,Si
