Fecha Orden,Numero de Orden,Unidades Vendidas,Monto de Venta,Nombre Tienda,SKU Producto,Correo Electrónico
02/20/2015,SO45463,1,3578.27,AW Breña,BK-R93R-48,jonathan43@adventure-works.com
02/28/2015,SO45512,1,3578.27,AW Breña,BK-R93R-48,luis24@adventure-works.com
03/13/2015,SO45658,1,3578.27,AW Breña,BK-R93R-48,robert82@adventure-works.com
03/03/2015,SO45594,1,3578.27,AW Comas,BK-R93R-48,christian46@adventure-works.com
03/29/2015,SO45766,1,3578.27,AW Breña,BK-R93R-48,noah2@adventure-works.com
03/15/2015,SO45668,1,3578.27,AW Breña,BK-R93R-48,jon46@adventure-works.com
03/13/2015,SO45655,1,3578.27,AW Breña,BK-R93R-48,jose33@adventure-works.com
03/21/2015,SO45714,1,3578.27,AW Breña,BK-R93R-48,cameron39@adventure-works.com
03/23/2015,SO45724,1,3578.27,AW Lurin,BK-R93R-48,maurice9@adventure-works.com
03/28/2015,SO45762,1,3578.27,AW Lurin,BK-R93R-48,barry18@adventure-works.com
04/04/2015,SO45834,1,3578.27,AW Breña,BK-R93R-48,joe35@adventure-works.com
04/05/2015,SO45844,1,3578.27,AW Comas,BK-R93R-48,andrew27@adventure-works.com
04/07/2015,SO45851,1,3578.27,AW Breña,BK-R93R-48,greg10@adventure-works.com
04/10/2015,SO45867,1,3578.27,AW Comas,BK-R93R-48,cameron48@adventure-works.com
04/17/2015,SO45921,1,3578.27,AW Comas,BK-R93R-48,brendan13@adventure-works.com
04/30/2015,SO46018,1,3578.27,AW Comas,BK-R93R-48,seth2@adventure-works.com
04/23/2015,SO45957,1,3578.27,AW Breña,BK-R93R-48,juan16@adventure-works.com
04/28/2015,SO45996,1,3578.27,AW Breña,BK-R93R-48,tyler9@adventure-works.com
04/29/2015,SO46003,1,3578.27,AW Breña,BK-R93R-48,christian18@adventure-works.com
04/29/2015,SO46005,1,3578.27,AW Lurin,BK-R93R-48,miguel22@adventure-works.com
04/30/2015,SO46016,1,3578.27,AW Breña,BK-R93R-48,kurt9@adventure-works.com
05/01/2015,SO46112,1,3578.27,AW Breña,BK-R93R-48,dennis7@adventure-works.com
05/01/2015,SO46109,1,3578.27,AW Comas,BK-R93R-48,sebastian21@adventure-works.com
05/02/2015,SO46123,1,3578.27,AW Breña,BK-R93R-48,adrian9@adventure-works.com
05/02/2015,SO46121,1,3578.27,AW Breña,BK-R93R-48,garrett6@adventure-works.com
05/04/2015,SO46131,1,3578.27,AW Breña,BK-R93R-48,joseph23@adventure-works.com
05/08/2015,SO46163,1,3578.27,AW Comas,BK-R93R-48,alex39@adventure-works.com
05/08/2015,SO46164,1,3578.27,AW Breña,BK-R93R-48,nathaniel9@adventure-works.com
05/10/2015,SO46177,1,3578.27,AW Breña,BK-R93R-48,devin53@adventure-works.com
05/14/2015,SO46209,1,3578.27,AW Lurin,BK-R93R-48,adam38@adventure-works.com
05/15/2015,SO46212,1,3578.27,AW Breña,BK-R93R-48,dalton44@adventure-works.com
05/17/2015,SO46235,1,3578.27,AW Breña,BK-R93R-48,steven12@adventure-works.com
05/22/2015,SO46265,1,3578.27,AW Comas,BK-R93R-48,justin27@adventure-works.com
05/25/2015,SO46287,1,3578.27,AW Breña,BK-R93R-48,lucas60@adventure-works.com
06/03/2015,SO46406,1,3578.27,AW Comas,BK-R93R-48,mason18@adventure-works.com
06/09/2015,SO46446,1,3578.27,AW Comas,BK-R93R-48,joseph16@adventure-works.com
06/15/2015,SO46484,1,3578.27,AW Comas,BK-R93R-48,jeremy8@adventure-works.com
06/17/2015,SO46492,1,3578.27,AW Comas,BK-R93R-48,noah42@adventure-works.com
06/20/2015,SO46522,1,3578.27,AW Breña,BK-R93R-48,eduardo24@adventure-works.com
06/26/2015,SO46569,1,3578.27,AW Breña,BK-R93R-48,cody21@adventure-works.com
03/14/2015,SO45664,1,3578.27,AW Trujillo,BK-R93R-48,jon29@adventure-works.com
04/20/2015,SO45937,1,3578.27,AW Trujillo,BK-R93R-48,miguel33@adventure-works.com
04/09/2015,SO45862,1,3578.27,AW Trujillo,BK-R93R-48,ernest12@adventure-works.com
01/02/2015,SO45083,1,3578.27,AW Huancayo,BK-R93R-48,alejandro4@adventure-works.com
03/26/2015,SO45745,1,3578.27,AW Huancayo,BK-R93R-48,martin14@adventure-works.com
03/28/2015,SO45758,1,3578.27,AW Huancayo,BK-R93R-48,shannon31@adventure-works.com
04/03/2015,SO45827,1,3578.27,AW Huancayo,BK-R93R-48,jon8@adventure-works.com
04/26/2015,SO45980,1,3578.27,AW Huancayo,BK-R93R-48,clayton31@adventure-works.com
05/12/2015,SO46190,1,3578.27,AW Huancayo,BK-R93R-48,gerald37@adventure-works.com
06/08/2015,SO46441,1,3578.27,AW Huancayo,BK-R93R-48,brandon48@adventure-works.com
06/29/2015,SO46595,1,3578.27,AW Huancayo,BK-R93R-48,julian6@adventure-works.com
06/02/2015,SO46404,1,3578.27,AW Huancayo,BK-R93R-48,ryan52@adventure-works.com
01/15/2015,SO45162,1,3578.27,AW Arequipa,BK-R93R-48,andy6@adventure-works.com
01/27/2015,SO45236,1,3578.27,AW Arequipa,BK-R93R-48,brett4@adventure-works.com
01/02/2015,SO45085,1,3578.27,AW Arequipa,BK-R93R-48,reginald12@adventure-works.com
01/14/2015,SO45155,1,3578.27,AW Arequipa,BK-R93R-48,mathew7@adventure-works.com
